case_id,n_events,duration_days
Application_000001,20,3.6897442943287038
Application_000002,21,3.3593723987152777
Application_000003,14,1.5778272449652777
Application_000004,27,8.42975057451389
Application_000005,20,5.738254402719907
Application_000006,14,5.994198331354167
Application_000007,21,5.716796159548611
Application_000008,17,3.276606823553241
Application_000009,19,2.9193394307407408
Application_000010,16,1.8252109614699075
Application_000011,14,3.1806594103240737
Application_000012,18,3.3784822209375
Application_000013,22,5.415755815104166
Application_000014,21,2.916133348310185
Application_000015,19,3.446173780034722
Application_000016,15,3.63174066380787
Application_000017,16,2.1786096752314816
Application_000018,14,5.2087447080092595
Application_000019,15,5.129040188425926
Application_000020,25,7.43668763306713
Application_000021,20,4.5739365003819445
Application_000022,18,3.484619756527778
Application_000023,14,1.7929378142708332
Application_000024,16,4.1717112071875
Application_000025,14,2.5724258584953703
Application_000026,21,7.561164371053241
Application_000027,15,1.995598486712963
Application_000028,17,3.9311117622337965
Application_000029,14,1.8990446290046297
Application_000030,21,2.3648377397800924
Application_000031,18,2.789596788125
Application_000032,19,4.928789484016204
Application_000033,15,2.8867584491319445
Application_000034,18,2.6238209971875
Application_000035,15,2.463791176956019
Application_000036,16,4.910496930173611
Application_000037,14,3.2573694344328707
Application_000038,7,1.5578299723379632
Application_000039,15,2.5598701673958333
Application_000040,23,2.0260528805902775
Application_000041,16,8.82356721675926
Application_000042,15,5.553640662395834
Application_000043,20,3.335750264259259
Application_000044,21,7.699489879872686
Application_000045,16,6.068204257060184
Application_000046,21,5.072828538935185
Application_000047,14,5.1708094015856485
Application_000048,21,4.342622971168981
Application_000049,14,1.9816705018981482
Application_000050,19,3.7139348001273147
Application_000051,15,3.474970040625
Application_000052,14,2.764207531423611
Application_000053,15,5.953693184247685
Application_000054,15,3.704231915590278
Application_000055,27,6.793955140208333
Application_000056,16,5.133619849259259
Application_000057,19,3.016624957974537
Application_000058,25,9.41589572974537
Application_000059,18,2.855504005451389
Application_000060,16,1.0362793907175925
Application_000061,21,13.126552419456019
Application_000062,15,3.929804658171296
Application_000063,24,8.951233148078703
Application_000064,20,4.735804175543982
Application_000065,16,5.606666568726852
Application_000066,19,6.670653918344907
Application_000067,20,5.576752619756944
Application_000068,15,2.780927357164352
Application_000069,18,5.0048471661689815
Application_000070,17,6.576096239618056
Application_000071,22,6.277594611238426
Application_000072,21,5.220492578923611
Application_000073,14,4.092147555775463
Application_000074,15,2.039754399618056
Application_000075,19,4.301834361215278
Application_000076,19,6.078259715034721
Application_000077,23,7.205154935613426
Application_000078,19,6.31820234693287
Application_000079,15,3.276885756342592
Application_000080,21,4.962518649652778
Application_000081,19,3.9108579975810183
Application_000082,15,2.7817109862268516
Application_000083,19,4.268480199652778
Application_000084,27,8.064786937708334
Application_000085,18,4.987826449166667
Application_000086,16,3.0968675064004625
Application_000087,16,9.921993551377314
Application_000088,20,3.5812875638541666
Application_000089,16,3.2086036964583333
Application_000090,18,4.604629508194445
Application_000091,16,3.9444079527083336
Application_000092,21,4.607367527256944
Application_000093,16,7.569820497731481
Application_000094,21,8.265324080659722
Application_000095,15,3.1169903251041666
Application_000096,23,8.285755019583334
Application_000097,14,3.5425349467824074
Application_000098,18,6.5481310737500005
Application_000099,16,2.424487264421296
Application_000100,15,1.8388249299305557
Application_000101,16,3.5203154142939814
Application_000102,16,2.98002857
Application_000103,21,5.127707328807871
Application_000104,16,11.28050302480324
Application_000105,14,2.164066638113426
Application_000106,14,3.262941742002315
Application_000107,25,12.567689319050926
Application_000108,21,7.991009545567129
Application_000109,21,8.685694911226852
Application_000110,22,6.529827664085649
Application_000111,20,4.37512164162037
Application_000112,20,6.220593417280093
Application_000113,15,4.097860065393519
Application_000114,18,4.29908259150463
Application_000115,18,2.6921111477314814
Application_000116,29,6.020574126527778
Application_000117,21,10.046909827546296
Application_000118,16,2.778043685694444
Application_000119,16,3.036875770185185
Application_000120,19,2.6891449859722223
Application_000121,16,7.192545917453704
Application_000122,21,5.65240800056713
Application_000123,19,6.823961156840278
Application_000124,15,3.0241185557175925
Application_000125,16,2.099692378599537
Application_000126,24,5.786050194803241
Application_000127,14,2.070329328298611
Application_000128,17,3.5894209288541665
Application_000129,26,6.653717090856482
Application_000130,26,5.047637571828703
Application_000131,24,5.72818301212963
Application_000132,16,2.7781585479050923
Application_000133,16,2.1800061998958333
Application_000134,21,8.19930363224537
Application_000135,14,4.0404612349305555
Application_000136,32,6.039605801921296
Application_000137,19,1.708352980821759
Application_000138,19,2.207800196990741
Application_000139,21,2.7799450952314815
Application_000140,22,5.505441787638889
Application_000141,20,6.268481617430555
Application_000142,15,2.284509269189815
Application_000143,23,8.072564152361112
Application_000144,14,4.5508824481481485
Application_000145,14,7.164416057581018
Application_000146,20,2.2047972855092595
Application_000147,19,6.226181372951389
Application_000148,22,6.730909401307871
Application_000149,22,3.9377266756134257
Application_000150,15,3.4387508674189813
Application_000151,15,3.2524857213888887
Application_000152,21,7.155683136597221
Application_000153,15,2.384240426724537
Application_000154,23,6.291781639016203
Application_000155,22,4.574482695162037
Application_000156,24,3.7687611203935187
Application_000157,17,7.676368981342593
Application_000158,27,6.167381208935185
Application_000159,7,6.373054059305556
Application_000160,19,3.403681954421296
Application_000161,17,4.754805790266204
Application_000162,21,4.162424712523149
Application_000163,21,3.0249402279050925
Application_000164,16,8.481949286666666
Application_000165,16,2.2752886176851854
Application_000166,7,1.190655379652778
Application_000167,16,4.3133251044791665
Application_000168,20,4.659794574560186
Application_000169,25,6.897444265497685
Application_000170,20,5.792195459050926
Application_000171,19,2.620397272025463
Application_000172,16,1.465826330787037
Application_000173,28,7.449959822800925
Application_000174,25,12.03704421755787
Application_000175,21,4.067600618182871
Application_000176,22,6.411986150995371
Application_000177,16,2.954330548576389
Application_000178,16,2.5993422172337963
Application_000179,19,3.7612607578125004
Application_000180,19,9.603250320590279
Application_000181,20,18.354793218935185
Application_000182,16,1.2635700129861112
Application_000183,22,2.3401387127662034
Application_000184,15,11.657244291655093
Application_000185,14,1.5960300548958333
Application_000186,14,1.9879459097800924
Application_000187,15,1.8359196587037039
Application_000188,18,9.241894743043982
Application_000189,21,3.388051281388889
Application_000190,14,5.7069377493634255
Application_000191,19,4.949417652789352
Application_000192,21,7.922916544664351
Application_000193,21,12.418421064560183
Application_000194,32,11.026249960023149
Application_000195,16,5.7370809775115745
Application_000196,16,3.8560363953009262
Application_000197,15,3.1209396641898146
Application_000198,21,9.935553974918982
Application_000199,16,2.3676857416319446
Application_000200,16,2.160027405034722
Application_000201,23,7.818135955902777
Application_000202,14,3.697951789988426
Application_000203,15,1.4370845500694445
Application_000204,20,3.456315981875
Application_000205,14,5.114946732314815
Application_000206,10,3.5169408169907403
Application_000207,20,3.270815303761574
Application_000208,15,6.777827664201388
Application_000209,16,2.9470099119907407
Application_000210,14,3.0655737156944443
Application_000211,25,4.491605989166667
Application_000212,14,1.941386977013889
Application_000213,16,4.952345812303241
Application_000214,16,3.6658936249189815
Application_000215,15,3.637054511064815
Application_000216,16,3.995377885810185
Application_000217,18,2.338629345023148
Application_000218,10,5.298652342743055
Application_000219,31,8.702191594525463
Application_000220,24,2.8917000491782408
Application_000221,19,2.263879231666667
Application_000222,20,6.190369913425926
Application_000223,21,4.153595581805556
Application_000224,15,3.738354887835648
Application_000225,16,3.8109259785879632
Application_000226,15,0.9120138905439814
Application_000227,16,3.8510248667824074
Application_000228,16,9.774997683263889
Application_000229,23,6.733051556678241
Application_000230,16,1.5536288073263889
Application_000231,21,5.973691975625
Application_000232,23,6.284181622037036
Application_000233,14,4.1053457988657405
Application_000234,21,7.041279784432871
Application_000235,16,3.156009994953704
Application_000236,21,3.7924318576736114
Application_000237,16,3.5243904143055556
Application_000238,22,6.853060392025463
Application_000239,16,3.536479620497685
Application_000240,16,4.10211946355324
Application_000241,16,2.4474071639930552
Application_000242,16,2.006549241238426
Application_000243,19,4.704839652002315
Application_000244,21,6.058911760057871
Application_000245,15,4.65203881724537
Application_000246,19,4.000449658969907
Application_000247,15,6.310615676215278
Application_000248,14,5.635307454895833
Application_000249,18,4.39006886056713
Application_000250,20,6.161041314618056
Application_000251,22,4.399186180543981
Application_000252,24,15.968421587476852
Application_000253,19,3.7281932464236114
Application_000254,14,2.022784294108796
Application_000255,28,4.021523320439814
Application_000256,7,2.3925701352430555
Application_000257,14,6.730417659641203
Application_000258,16,4.133958224652778
Application_000259,26,6.483860085775463
Application_000260,18,3.183119687314815
Application_000261,20,9.115639921458333
Application_000262,7,1.6784290118287037
Application_000263,15,8.0470211103125
Application_000264,22,5.251011481585648
Application_000265,22,6.200904146319444
Application_000266,21,6.364354198263889
Application_000267,20,2.232350037800926
Application_000268,16,2.4026651024421297
Application_000269,22,8.168738921909721
Application_000270,15,2.8503877562037037
Application_000271,16,2.10466512375
Application_000272,19,8.072851675069444
Application_000273,24,8.469800922800925
Application_000274,16,4.776971631631945
Application_000275,26,7.5932741860532404
Application_000276,15,3.5993781134374996
Application_000277,20,8.473912066122686
Application_000278,20,3.9024393295833337
Application_000279,21,6.35140664269676
Application_000280,20,5.573508939583333
Application_000281,23,4.906951142222222
Application_000282,20,4.184244865868055
Application_000283,15,2.144434438263889
Application_000284,7,0.46561333211805556
Application_000285,19,5.025735987627315
Application_000286,14,3.723075292002315
Application_000287,15,2.384991311435185
Application_000288,18,4.002179747164352
Application_000289,20,2.663508501898148
Application_000290,22,6.5554518953125
Application_000291,18,3.3383745773495366
Application_000292,16,3.088769579988426
Application_000293,16,3.560789442164352
Application_000294,15,2.985744996238426
Application_000295,15,2.4106711098263887
Application_000296,13,2.3897616661574075
Application_000297,15,1.307100060601852
Application_000298,25,8.83532050491898
Application_000299,15,2.3712151738425926
Application_000300,18,6.266719129965278
Application_000301,7,0.36552646489583335
Application_000302,19,2.0545338254050924
Application_000303,14,3.2656671393171295
Application_000304,24,9.175332116018518
Application_000305,10,2.780540830150463
Application_000306,26,5.7732518271875
Application_000307,20,4.244123683483797
Application_000308,16,4.495638514456019
Application_000309,24,12.152227736111112
Application_000310,21,11.254960197303241
Application_000311,16,3.0239895189583335
Application_000312,16,1.9020961002662036
Application_000313,20,7.934610822291667
Application_000314,26,13.765389022395832
Application_000315,16,1.760952884490741
Application_000316,14,2.119503771921296
Application_000317,19,4.7343518987152775
Application_000318,20,7.370295182881944
Application_000319,16,1.5347485805439816
Application_000320,19,3.796823486435185
Application_000321,16,2.238522415590278
Application_000322,20,3.241597737326389
Application_000323,27,8.195586786516204
Application_000324,14,6.364654674826388
Application_000325,14,6.043774210300926
Application_000326,18,5.968828276655093
Application_000327,16,1.7769371942476853
Application_000328,19,5.984651589988426
Application_000329,16,3.5980238887731484
Application_000330,15,6.956070581689815
Application_000331,19,6.279638280474537
Application_000332,17,3.746694244351852
Application_000333,25,12.601751081979167
Application_000334,15,3.0343397830671295
Application_000335,15,4.705981885983796
Application_000336,14,1.8569249788773148
Application_000337,16,6.090143710092592
Application_000338,26,21.159965168495372
Application_000339,18,1.8768285995601852
Application_000340,18,5.417701467615741
Application_000341,18,5.905484798402778
Application_000342,15,1.8524313272800925
Application_000343,16,3.4591886570949075
Application_000344,15,2.727198995150463
Application_000345,20,5.859624854074074
Application_000346,26,5.085935086261574
Application_000347,25,7.713161754606481
Application_000348,14,5.556167264513888
Application_000349,19,3.948287822523148
Application_000350,15,3.0593277871180558
Application_000351,20,2.3845456684027777
Application_000352,16,1.8026757977199075
Application_000353,19,11.789898741365741
Application_000354,15,3.147436524398148
Application_000355,14,1.666406582013889
Application_000356,22,6.461296909571759
Application_000357,24,6.239656050138889
Application_000358,21,8.277793795578702
Application_000359,15,2.184454024884259
Application_000360,22,4.682054802719907
Application_000361,14,1.8853450787384258
Application_000362,16,1.6267254579050927
Application_000363,24,10.272444876886574
Application_000364,16,4.583698772719907
Application_000365,24,6.741157606145833
Application_000366,13,2.5408049535648147
Application_000367,14,2.157295800520833
Application_000368,15,4.434855328171296
Application_000369,15,3.622720344537037
Application_000370,19,6.709424868773148
Application_000371,15,3.5202511464351853
Application_000372,19,6.3659558026851855
Application_000373,19,10.123319120474536
Application_000374,17,4.342655759131945
Application_000375,23,7.6332340576157405
Application_000376,21,11.484246285092592
Application_000377,15,6.473498276655093
Application_000378,14,1.7490074865509257
Application_000379,15,4.4085047780787034
Application_000380,17,6.625435127858796
Application_000381,16,3.8814664684722224
Application_000382,15,2.9385931638541667
Application_000383,15,2.420373468240741
Application_000384,28,9.4462564646875
Application_000385,15,0.8535865032060186
Application_000386,19,3.9307839132175926
Application_000387,14,4.496582630277778
Application_000388,16,2.6100027900810185
Application_000389,16,3.4305920977430557
Application_000390,20,9.239617331840279
Application_000391,16,5.7237134037615744
Application_000392,16,2.939523812337963
Application_000393,16,4.496582410497686
Application_000394,27,7.2695669789351856
Application_000395,14,3.9465029640046296
Application_000396,14,2.0948272799305556
Application_000397,18,12.428573434444443
Application_000398,16,1.7427712426157407
Application_000399,15,7.20709568763889
Application_000400,15,7.244158882696759
Application_000401,20,8.165095723576389
Application_000402,21,5.632029652847223
Application_000403,15,1.7426575151041666
Application_000404,15,4.350550846041666
Application_000405,16,2.6118968905787034
Application_000406,15,3.5871642992476853
Application_000407,15,1.4216191289699074
Application_000408,21,4.296898986944445
Application_000409,21,4.0513410321296295
Application_000410,22,4.532636131863426
Application_000411,20,6.853440834664352
Application_000412,32,6.826155854710649
Application_000413,15,3.4844164421296293
Application_000414,15,7.729739661724537
Application_000415,21,5.743658803495371
Application_000416,16,3.4250177667939816
Application_000417,19,2.4740032167939816
Application_000418,19,4.445322513553241
Application_000419,22,4.245155416076389
Application_000420,22,5.872518694594907
Application_000421,24,6.410869347650463
Application_000422,15,5.387439947638889
Application_000423,15,2.0934802870949074
Application_000424,22,5.180529840300926
Application_000425,16,2.1391543867592593
Application_000426,19,4.748991474236111
Application_000427,15,2.9301407666203705
Application_000428,31,10.898667509849538
Application_000429,14,3.704040267997685
Application_000430,16,5.026009136168981
Application_000431,20,3.2533283351041664
Application_000432,26,5.532159505844907
Application_000433,16,1.5644073485185186
Application_000434,21,5.111088303460648
Application_000435,14,4.463231412777778
Application_000436,16,2.049955570590278
Application_000437,24,6.463106271655093
Application_000438,20,4.406911699965278
Application_000439,15,3.8366317968981485
Application_000440,20,2.289559934988426
Application_000441,15,2.4540371936574075
Application_000442,20,1.3672973304976852
Application_000443,21,6.424394183564815
Application_000444,7,1.1397332515624998
Application_000445,7,0.8510125416203704
Application_000446,20,2.369952324872685
Application_000447,22,5.854386820266203
Application_000448,23,12.382187719224538
Application_000449,13,1.1971136896759258
Application_000450,24,5.379261756087963
Application_000451,16,2.6764057475578706
Application_000452,10,2.900354396539352
Application_000453,16,2.1194115878935182
Application_000454,16,2.7643595976504627
Application_000455,28,9.941153675625
Application_000456,15,3.1963221792939813
Application_000457,17,7.636823237199074
Application_000458,15,1.9774786589351852
Application_000459,15,6.197822433171296
Application_000460,21,5.323620840034723
Application_000461,18,6.18220367962963
Application_000462,18,5.118545811053241
Application_000463,14,1.808792798263889
Application_000464,16,2.818825927210648
Application_000465,19,4.157917437037037
Application_000466,16,5.238349406504629
Application_000467,15,2.166381131701389
Application_000468,15,3.4109650907060187
Application_000469,14,1.0944673463425927
Application_000470,18,3.696373163449074
Application_000471,25,6.024721377453703
Application_000472,20,4.709303895659723
Application_000473,14,3.1080945469097223
Application_000474,15,4.17771669480324
Application_000475,19,3.318456590115741
Application_000476,19,6.039443185613426
Application_000477,19,5.144497791481482
Application_000478,18,3.744348312118056
Application_000479,19,7.531376992662038
Application_000480,19,4.249426523981481
Application_000481,18,5.194891596064815
Application_000482,15,8.487061763078703
Application_000483,29,9.075505611377315
Application_000484,18,4.182540194074074
Application_000485,19,9.201127549942129
Application_000486,14,6.242714015648148
Application_000487,22,8.505491616828705
Application_000488,15,1.6354746507291666
Application_000489,16,7.031585860578704
Application_000490,18,11.882931519988425
Application_000491,15,2.1381763902893516
Application_000492,21,6.607979017835648
Application_000493,15,2.8544670128125
Application_000494,23,2.807450407627315
Application_000495,15,2.127760462002315
Application_000496,16,2.5210024717592594
Application_000497,16,1.9588976744560185
Application_000498,15,1.818986154849537
Application_000499,22,8.215857127280092
Application_000500,20,5.036686794108797
Application_000501,20,6.275467901354167
Application_000502,21,3.158485940428241
Application_000503,22,4.3909172810300925
Application_000504,16,5.118966556921296
Application_000505,20,2.6127557313078706
Application_000506,16,2.7987479768981482
Application_000507,27,6.7805649555671295
Application_000508,28,10.762617082430555
Application_000509,23,15.282150768067131
Application_000510,14,1.9565360430555554
Application_000511,20,6.475431788472222
Application_000512,15,8.341642633425925
Application_000513,27,10.8853734628125
Application_000514,22,5.752912131168981
Application_000515,19,2.0168974527314814
Application_000516,20,2.545720139386574
Application_000517,7,0.7872746662847222
Application_000518,21,4.02713479667824
Application_000519,16,3.4573090178935186
Application_000520,16,2.599512177800926
Application_000521,23,7.230192483831019
Application_000522,19,5.2886532738194445
Application_000523,24,6.1665392846875005
Application_000524,14,2.7543133658217593
Application_000525,16,2.7052791315162037
Application_000526,24,4.480306622824074
Application_000527,16,5.697173101909722
Application_000528,15,2.906257982071759
Application_000529,20,7.597959763842592
Application_000530,14,3.3259765939699073
Application_000531,19,6.2089947885995365
Application_000532,23,10.56579262704861
Application_000533,15,1.0212121486805557
Application_000534,16,4.646844393356481
Application_000535,17,4.481914066238426
Application_000536,18,3.911422989282407
Application_000537,16,5.20925546042824
Application_000538,22,2.986825797048611
Application_000539,15,2.5032585698726852
Application_000540,16,2.835031898252315
Application_000541,16,1.8559639766550926
Application_000542,28,6.5611522857870375
Application_000543,14,2.410318285625
Application_000544,7,0.9977456792592592
Application_000545,20,4.105687994965278
Application_000546,19,9.430643648807871
Application_000547,19,3.794742780763889
Application_000548,20,3.634940929803241
Application_000549,19,18.791151711030093
Application_000550,15,2.936171529710648
Application_000551,20,4.895561708333333
Application_000552,21,7.086412786597222
Application_000553,15,3.994315121863426
Application_000554,15,2.0382227944791667
Application_000555,16,4.886798229699075
Application_000556,19,6.881456811273149
Application_000557,15,1.9878257351041666
Application_000558,24,5.815805705821759
Application_000559,15,1.0870059352546297
Application_000560,15,2.9307199255439818
Application_000561,17,5.072564820856481
Application_000562,20,6.772252456064815
Application_000563,23,7.199196113946759
Application_000564,19,4.999890105474537
Application_000565,21,5.796330787638889
Application_000566,19,6.917003626608797
Application_000567,20,3.0867375550462963
Application_000568,16,7.1508092683101845
Application_000569,20,2.574490501481481
Application_000570,20,4.284214025949074
Application_000571,18,2.8553640771296296
Application_000572,27,6.46275868943287
Application_000573,17,6.44252887613426
Application_000574,16,2.22748504056713
Application_000575,23,5.985352642071759
Application_000576,19,5.031866891087963
Application_000577,17,2.4841769403935183
Application_000578,25,12.738509132152776
Application_000579,23,4.846742477638888
Application_000580,16,4.467779294953703
Application_000581,15,2.779967518946759
Application_000582,16,4.392627550023149
Application_000583,7,1.4422817827314816
Application_000584,14,7.616510367418981
Application_000585,16,1.9529857812731481
Application_000586,15,3.375087706458334
Application_000587,16,7.511526477372685
Application_000588,21,4.853222673171296
Application_000589,21,8.20764599755787
Application_000590,25,7.374952935081019
Application_000591,21,4.044550532418981
Application_000592,22,5.227226546770834
Application_000593,19,6.000657756018518
Application_000594,15,2.525484122638889
Application_000595,15,2.392043344965278
Application_000596,24,9.695890644166667
Application_000597,23,14.646189957106483
Application_000598,15,3.848187928611111
Application_000599,14,2.970476974386574
Application_000600,10,3.1791210755208335
Application_000601,18,2.1940699424884262
Application_000602,14,1.3910129144907408
Application_000603,15,2.302111902210648
Application_000604,20,3.4381229746180555
Application_000605,19,3.543472708252315
Application_000606,19,3.1102808950000003
Application_000607,18,5.005619937430556
Application_000608,20,8.6217253359375
Application_000609,21,7.65185617769676
Application_000610,26,8.53538817116898
Application_000611,19,4.708675690810185
Application_000612,17,2.108232700416667
Application_000613,20,5.461795548136574
Application_000614,21,6.132384544942131
Application_000615,16,3.144246887534722
Application_000616,26,7.012682998009259
Application_000617,19,2.503146734560185
Application_000618,25,5.731666473136574
Application_000619,13,5.184922192800926
Application_000620,17,3.5685493679629627
Application_000621,16,4.370235229907407
Application_000622,14,1.2491104472800927
Application_000623,16,4.362662591122685
Application_000624,15,2.8662141090277777
Application_000625,16,2.8968850545601854
Application_000626,24,7.967028479155093
Application_000627,14,1.823853027777778
Application_000628,23,3.270737932141204
Application_000629,20,6.528578723287038
Application_000630,15,3.827853933125
Application_000631,28,8.138053341203705
Application_000632,14,4.063320550266204
Application_000633,17,4.900214836539352
Application_000634,14,3.594762850590278
Application_000635,21,4.034580485324074
Application_000636,19,8.108326744652777
Application_000637,16,2.8105923673148148
Application_000638,15,2.028452186053241
Application_000639,14,1.512566248125
Application_000640,19,5.529219469699075
Application_000641,16,2.379805500613426
Application_000642,17,8.586845077673612
Application_000643,14,1.812217300023148
Application_000644,7,0.4207336818981482
Application_000645,17,3.122425685034722
Application_000646,21,6.125194409537038
Application_000647,14,1.8391461131365743
Application_000648,29,14.40767188185185
Application_000649,22,3.8514209989583335
Application_000650,26,5.068188589363426
Application_000651,21,3.1624296321296295
Application_000652,25,11.538504287743056
Application_000653,24,6.971991769837962
Application_000654,14,1.576931337824074
Application_000655,19,4.52720436287037
Application_000656,16,2.436223080474537
Application_000657,17,4.578655601921296
Application_000658,16,1.6799128291435186
Application_000659,15,2.606346932962963
Application_000660,20,11.143688758506944
Application_000661,15,2.7890663609027775
Application_000662,15,2.033883727199074
Application_000663,16,6.00499972011574
Application_000664,15,5.275428243506945
Application_000665,15,3.6883463695833334
Application_000666,28,4.356085439652778
Application_000667,25,3.9254122922569445
Application_000668,15,2.2177451999421294
Application_000669,20,11.509865360775462
Application_000670,25,12.102902899594907
Application_000671,20,8.548244525023149
Application_000672,22,4.9681645616203705
Application_000673,21,5.325009476377315
Application_000674,19,3.8298934616319444
Application_000675,19,4.042994069166666
Application_000676,18,4.371098177511574
Application_000677,16,2.4211702056828703
Application_000678,25,5.299922495185185
Application_000679,16,1.9212824942476852
Application_000680,24,3.479045530034722
Application_000681,14,6.201407017233796
Application_000682,19,4.7362901358217595
Application_000683,20,3.9758221859374996
Application_000684,19,11.778128001747685
Application_000685,16,3.70385459306713
Application_000686,16,2.730414376261574
Application_000687,13,1.6161521484837964
Application_000688,21,4.4737119472685185
Application_000689,21,2.5826282722800924
Application_000690,14,4.217668701053241
Application_000691,7,1.2517604746527777
Application_000692,31,9.51740426474537
Application_000693,27,5.180699815555555
Application_000694,15,5.468702902557871
Application_000695,24,6.778717876458333
Application_000696,14,2.280449789479167
Application_000697,15,3.298931112534722
Application_000698,16,1.8132936568518518
Application_000699,16,4.816625201493055
Application_000700,31,9.527385471909723
Application_000701,24,3.6828528765162036
Application_000702,16,3.6340093566435185
Application_000703,21,3.6798470483217596
Application_000704,14,2.881654312037037
Application_000705,16,3.2488336566666662
Application_000706,19,8.204049737025464
Application_000707,14,5.134060389409722
Application_000708,16,3.788286772928241
Application_000709,16,2.20940125119213
Application_000710,16,2.001159814861111
Application_000711,16,4.175425463298611
Application_000712,16,1.7642483663888888
Application_000713,16,2.8330621727662035
Application_000714,24,4.302320305416666
Application_000715,25,7.069113522233797
Application_000716,21,4.552085223854166
Application_000717,14,3.903741476446759
Application_000718,16,1.208295051724537
Application_000719,18,2.879723612662037
Application_000720,16,2.024614989166667
Application_000721,16,1.280097309710648
Application_000722,15,6.368336494953704
Application_000723,15,6.63329526269676
Application_000724,19,3.2231110297453704
Application_000725,15,3.6840875929861108
Application_000726,27,9.60248935951389
Application_000727,15,2.8240709233449075
Application_000728,16,1.8564619903819444
Application_000729,19,3.903582044988426
Application_000730,20,4.981065561493056
Application_000731,16,9.057937331388889
Application_000732,16,6.770909554201389
Application_000733,14,1.689587523460648
Application_000734,27,5.843304820104167
Application_000735,18,13.646981853425926
Application_000736,19,2.9676004366087962
Application_000737,18,3.9802103044675925
Application_000738,16,6.9392001612500005
Application_000739,14,1.7967821095833332
Application_000740,18,4.89999645494213
Application_000741,16,5.279982047905093
Application_000742,16,5.551597847546296
Application_000743,20,3.044354101365741
Application_000744,20,5.388297350011574
Application_000745,14,2.704911414548611
Application_000746,21,2.5829810921412037
Application_000747,15,1.538110781388889
Application_000748,20,5.410895225185185
Application_000749,16,1.162875319872685
Application_000750,20,9.616828576076388
Application_000751,21,3.9024769732291666
Application_000752,14,2.4338479370486112
Application_000753,16,2.9243084740625
Application_000754,21,3.887241488877315
Application_000755,22,5.254840573969908
Application_000756,25,12.539836835439814
Application_000757,16,6.116709643969907
Application_000758,15,2.262727306273148
Application_000759,21,6.575122739652778
Application_000760,19,3.4045384640277776
Application_000761,15,39.167170422835646
Application_000762,26,8.032103272384258
Application_000763,16,2.4021627462152777
Application_000764,25,2.47778839599537
Application_000765,15,1.9142748284722222
Application_000766,19,5.754089379803241
Application_000767,9,1.0004546486111112
Application_000768,16,2.371841767152778
Application_000769,16,1.5771471540972222
Application_000770,17,5.365691719502315
Application_000771,19,2.463598784791667
Application_000772,20,6.497285106354167
Application_000773,21,3.5459467222337966
Application_000774,14,9.193726448425926
Application_000775,20,3.0129673992592596
Application_000776,14,7.467086031979166
Application_000777,15,1.4711648235185186
Application_000778,16,4.814102555497685
